,count,count_no_rt
2017-02-10,66.0,22.0
2017-02-11,98.0,15.0
2017-02-12,78.0,23.0
2017-02-13,89.0,19.0
2017-02-14,55.0,26.0
2017-02-15,91.0,27.0
2017-02-16,41.0,28.0
2017-02-17,61.0,17.0
2017-02-18,60.0,13.0
2017-02-19,85.0,24.0
2017-02-20,65.0,43.0
2017-02-21,133.0,39.0
2017-02-22,60.0,43.0
2017-02-23,154.0,57.0
2017-02-24,87.0,45.0
2017-02-25,84.0,38.0
2017-02-26,81.0,37.0
2017-02-27,93.0,37.0
2017-02-28,174.0,31.0
2017-03-01,79.0,40.0
2017-03-02,70.0,38.0
2017-03-03,147.0,36.0
2017-03-04,91.0,33.0
2017-03-05,77.0,40.0
2017-03-06,52.0,31.0
2017-03-07,51.0,23.0
2017-03-08,60.0,35.0
2017-03-09,89.0,34.0
2017-03-10,72.0,38.0
2017-03-11,95.0,29.0
2017-03-12,57.0,28.0
2017-03-13,58.0,28.0
2017-03-14,45.0,23.0
2017-03-15,76.0,34.0
2017-03-16,53.0,33.0
2017-03-17,43.0,28.0
2017-03-18,37.0,20.0
2017-03-19,51.0,24.0
2017-03-20,64.0,25.0
2017-03-21,63.0,41.0
