,count,count_no_rt
2016-05-30,64.0,16.0
2016-05-31,92.0,14.0
2016-06-01,115.0,16.0
2016-06-02,101.0,15.0
2016-06-03,70.0,13.0
2016-06-04,62.0,13.0
2016-06-05,144.0,24.0
2016-06-06,138.0,10.0
2016-06-07,134.0,18.0
2016-06-08,92.0,15.0
2016-06-09,62.0,13.0
2016-06-10,61.0,11.0
2016-06-11,54.0,8.0
2016-06-12,176.0,25.0
2016-06-13,65.0,20.0
2016-06-14,45.0,12.0
2016-06-15,72.0,10.0
2016-06-16,41.0,12.0
2016-06-17,41.0,11.0
2016-06-18,87.0,7.0
2016-06-19,43.0,10.0
2016-06-20,33.0,9.0
2016-06-21,37.0,5.0
2016-06-22,28.0,10.0
2016-06-23,62.0,19.0
2016-06-24,45.0,22.0
2016-06-25,50.0,13.0
2016-06-26,48.0,15.0
2016-06-27,38.0,11.0
2016-06-28,24.0,10.0
2016-06-29,32.0,15.0
2016-06-30,28.0,13.0
2016-07-01,54.0,11.0
2016-07-02,23.0,6.0
2016-07-03,15.0,3.0
2016-07-04,21.0,10.0
2016-07-05,106.0,23.0
2016-07-06,726.0,108.0
2016-07-07,2616.0,476.0
2016-07-08,8459.0,1613.0
2016-07-09,3776.0,601.0
2016-07-10,3440.0,644.0
2016-07-11,4028.0,757.0
2016-07-12,2636.0,454.0
2016-07-13,1416.0,318.0
2016-07-14,852.0,261.0
2016-07-15,614.0,200.0
2016-07-16,813.0,172.0
2016-07-17,4573.0,1032.0
2016-07-18,3767.0,949.0
2016-07-19,1678.0,464.0
2016-07-20,988.0,235.0
2016-07-21,1873.0,224.0
2016-07-22,595.0,128.0
2016-07-23,592.0,129.0
2016-07-24,648.0,110.0
2016-07-25,556.0,155.0
2016-07-26,687.0,133.0
2016-07-27,848.0,198.0
2016-07-28,452.0,162.0
2016-07-29,801.0,216.0
2016-07-30,738.0,137.0
2016-07-31,450.0,87.0
2016-08-01,675.0,77.0
2016-08-02,417.0,113.0
2016-08-03,453.0,85.0
2016-08-04,395.0,83.0
2016-08-05,297.0,65.0
2016-08-06,251.0,47.0
2016-08-07,257.0,39.0
2016-08-08,244.0,73.0
2016-08-09,305.0,95.0
2016-08-10,343.0,105.0
2016-08-11,950.0,370.0
2016-08-12,418.0,131.0
2016-08-13,327.0,94.0
2016-08-14,833.0,198.0
2016-08-15,478.0,140.0
2016-08-16,445.0,114.0
2016-08-17,1035.0,346.0
2016-08-18,558.0,163.0
2016-08-19,264.0,45.0
2016-08-20,359.0,80.0
2016-08-21,204.0,46.0
2016-08-22,133.0,43.0
2016-08-23,131.0,34.0
2016-08-24,95.0,29.0
2016-08-25,107.0,37.0
2016-08-26,161.0,38.0
2016-08-27,158.0,44.0
2016-08-28,180.0,47.0
2016-08-29,210.0,56.0
2016-08-30,172.0,71.0
2016-08-31,113.0,37.0
2016-09-01,155.0,54.0
2016-09-02,188.0,68.0
2016-09-03,107.0,40.0
2016-09-04,89.0,43.0
2016-09-05,181.0,38.0
2016-09-06,132.0,31.0
2016-09-07,99.0,31.0
